Title_id,Age,IMDb,Rotten_tomatoes
678,16+,6.8,
679,all,7.7,
680,7+,8.5,
681,,8.1,
682,,6.9,
683,18+,7.2,79%
684,16+,6.5,37%
685,,7.0,75%
686,16+,7.7,
687,18+,8.0,
688,18+,6.7,19%
689,18+,7.1,
690,,8.0,
691,7+,7.6,100%
692,7+,8.2,
693,,7.6,
694,all,7.2,
695,7+,7.3,
696,16+,6.4,92%
697,16+,7.4,
698,16+,7.4,
699,all,6.9,
700,18+,8.7,
701,16+,6.1,
702,16+,6.9,
703,,7.6,
704,16+,7.5,
705,,8.0,
706,16+,7.8,
707,18+,6.6,67%
708,,7.5,
709,18+,7.8,
710,,6.5,
711,18+,7.9,
712,18+,7.5,
713,18+,8.6,
714,,7.2,
715,7+,6.8,
716,18+,7.0,
717,all,5.2,
718,,8.1,
719,7+,8.2,
720,18+,6.3,
721,all,7.9,
722,,7.5,
723,16+,7.4,
724,,7.3,67%
725,7+,7.6,
726,18+,6.9,
727,7+,7.9,
728,,7.1,
729,16+,6.9,
730,7+,6.4,
731,18+,5.5,
732,18+,7.9,
733,7+,8.1,
734,7+,8.9,
735,7+,2.5,
736,,7.4,90%
737,7+,8.1,
738,16+,6.8,86%
739,7+,7.3,
740,7+,8.0,
741,16+,7.5,
742,18+,7.9,
743,7+,7.2,100%
744,7+,6.0,63%
745,18+,6.8,
746,16+,8.0,
747,16+,7.5,
748,,7.0,
749,18+,5.4,
750,,7.8,
751,7+,7.0,
752,,8.6,
753,16+,8.3,
754,,7.4,
755,,7.4,
756,all,6.1,
757,16+,7.3,
758,7+,8.0,
759,7+,6.7,
760,,7.1,
761,7+,8.5,
762,7+,8.0,
763,16+,8.5,
764,7+,7.3,
765,,6.7,
766,7+,6.0,50%
767,,8.2,
768,16+,6.3,
769,all,5.4,
770,7+,7.8,
771,,8.3,
772,,8.3,
773,,7.0,
774,,7.4,
775,7+,8.4,
776,16+,7.7,
777,7+,5.8,60%
778,,5.8,
779,,7.6,
780,7+,8.0,
781,,7.2,
782,,8.3,
783,all,7.4,
784,7+,8.1,
785,18+,6.9,
786,,6.3,
787,,7.8,
788,,8.3,
789,16+,6.8,
790,7+,6.3,67%
791,,7.9,
792,16+,7.0,
793,7+,6.9,
794,16+,8.1,
795,18+,6.3,50%
796,,8.4,
797,18+,6.0,
798,16+,7.1,
799,16+,7.0,
800,,8.1,
801,16+,7.8,
802,16+,7.3,
803,7+,7.6,
804,18+,7.7,
805,,6.2,38%
806,18+,8.1,
807,18+,7.5,
808,16+,8.3,
809,,5.6,
810,,7.4,
811,,8.3,
812,,8.4,
813,18+,7.2,
814,all,7.1,
815,,7.3,
816,16+,7.4,
817,18+,7.3,
818,16+,6.8,100%
819,16+,7.2,
820,,6.2,
821,7+,7.7,
822,16+,5.9,
823,16+,7.5,
824,all,7.3,
825,all,7.6,
826,,7.5,
827,18+,7.2,
828,,7.9,
829,all,5.1,
830,all,8.2,
831,,8.0,
832,7+,7.2,
833,16+,7.2,
834,16+,7.5,
835,16+,5.9,22%
836,,7.9,
837,7+,7.6,
838,7+,8.1,
839,16+,6.9,
840,,8.3,
841,18+,4.5,8%
842,,6.8,
843,18+,7.6,
844,,7.8,
845,16+,6.6,
846,18+,6.1,
847,all,5.6,
848,16+,7.8,
849,18+,7.4,
850,18+,5.8,77%
851,18+,7.0,
852,,6.8,
853,18+,7.7,
854,16+,7.5,
855,,8.2,
856,,7.1,
857,,6.9,
